step,loss
0,NA
1,NA
2,NA
3,NA
4,NA
5,NA
6,NA
7,NA
8,NA
9,NA
10,NA
11,NA
12,NA
13,NA
14,NA
15,NA
16,NA
17,NA
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,NA
30,NA
31,NA
32,NA
33,NA
34,NA
35,NA
36,NA
37,NA
38,NA
39,NA
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46,NA
47,NA
48,NA
49,NA
50,NA
51,NA
52,NA
53,NA
54,NA
55,NA
56,NA
57,NA
58,NA
59,NA
60,NA
61,NA
62,NA
63,NA
64,NA
65,NA
66,NA
67,NA
68,NA
69,NA
70,NA
71,NA
72,NA
73,NA
74,NA
75,NA
76,NA
77,NA
78,NA
79,NA
80,NA
81,NA
82,NA
83,NA
84,NA
85,NA
86,NA
87,NA
88,NA
89,NA
90,NA
91,NA
92,NA
93,NA
94,NA
95,NA
96,NA
97,NA
98,NA
99,NA
100,NA
101,NA
102,NA
103,NA
104,NA
105,NA
106,NA
107,NA
108,NA
109,NA
110,NA
111,NA
112,NA
113,NA
114,NA
115,NA
116,NA
117,NA
118,NA
119,NA
120,NA
121,NA
122,NA
123,NA
124,NA
125,NA
126,NA
127,NA
128,NA
129,NA
130,NA
131,NA
132,NA
133,NA
134,NA
135,NA
136,NA
137,NA
138,NA
139,NA
140,NA
141,NA
142,NA
143,NA
144,NA
145,NA
146,NA
147,NA
148,NA
149,NA
150,NA
151,NA
152,NA
153,NA
154,NA
155,NA
156,NA
157,NA
158,NA
159,NA
160,NA
161,NA
162,NA
163,NA
164,NA
165,NA
166,NA
167,NA
168,NA
169,NA
170,NA
171,NA
172,NA
173,NA
174,NA
175,NA
176,NA
177,NA
178,NA
179,NA
180,NA
181,NA
182,NA
183,NA
184,NA
185,NA
186,NA
187,NA
188,NA
189,NA
190,NA
191,NA
192,NA
193,NA
194,NA
195,NA
196,NA
197,NA
198,NA
199,NA
200,NA
201,NA
202,NA
203,NA
204,NA
205,NA
206,NA
207,NA
208,NA
209,NA
210,NA
211,NA
212,NA
213,NA
214,NA
215,NA
216,NA
217,NA
218,NA
219,NA
220,NA
221,NA
222,NA
223,NA
224,NA
225,NA
226,NA
227,NA
228,NA
229,NA
230,NA
231,NA
232,NA
233,NA
234,NA
235,NA
236,NA
237,NA
238,NA
239,NA
240,NA
241,NA
242,NA
243,NA
244,NA
245,NA
246,NA
247,NA
248,NA
249,NA
250,0.1536366492509842
251,0.17115022242069244
252,0.1734198033809662
253,0.16211171448230743
254,0.18893387913703918
255,0.22461573779582977
256,0.16317924857139587
257,0.1882483959197998
258,0.14957700669765472
259,0.17664504051208496
260,0.1829531192779541
261,0.16952550411224365
262,0.17731155455112457
263,0.18790538609027863
264,0.19899964332580566
265,0.15703824162483215
266,0.1631525158882141
267,0.17878738045692444
268,0.17342692613601685
269,0.1694231480360031
270,0.16993620991706848
271,0.17348827421665192
272,0.17199572920799255
273,0.16134315729141235
274,0.15295161306858063
275,0.1764787882566452
276,0.18073667585849762
277,0.16533827781677246
278,0.15769226849079132
279,0.1565299928188324
280,0.1567303091287613
281,0.14338798820972443
282,0.16838033497333527
283,0.14992117881774902
284,0.1604745239019394
285,0.17193397879600525
286,0.14764806628227234
287,0.13590386509895325
288,0.17449285089969635
289,0.15462113916873932
290,0.1678076833486557
291,0.1659361720085144
292,0.1462220996618271
293,0.16256330907344818
294,0.15202012658119202
295,0.15429511666297913
296,0.1604193150997162
297,0.13889966905117035
298,0.1499411165714264
299,0.1489068567752838
300,0.13789236545562744
301,0.1489037573337555
302,0.15263725817203522
303,0.14689669013023376
304,0.15284916758537292
305,0.15948288142681122
306,0.14472141861915588
307,0.14587710797786713
308,0.1491372138261795
309,0.13813957571983337
310,0.14708086848258972
311,0.1386578232049942
312,0.1383964568376541
313,0.14872846007347107
314,0.13178959488868713
315,0.1413610279560089
316,0.14813944697380066
317,0.14772546291351318
318,0.1375158578157425
319,0.14762838184833527
320,0.14492975175380707
321,0.1290990710258484
322,0.14995251595973969
323,0.14008036255836487
324,0.1466735452413559
325,0.1293458491563797
326,0.14524026215076447
327,0.14123235642910004
328,0.13490405678749084
329,0.13714510202407837
330,0.1260242462158203
331,0.14095909893512726
332,0.13368190824985504
333,0.1315763145685196
334,0.133770152926445
